State,lat,long,Year,count,Age Group
Wisconsin (55),0,0,2004,177,60-64 years
Wisconsin (55),0,0,2005,143,50-54 years
Wisconsin (55),0,0,2005,223,55-59 years
Wisconsin (55),0,0,2005,17,60-64 years
Wisconsin (55),0,0,2005,29,65-69 years
Wisconsin (55),0,0,2005,138,70-74 years
Wisconsin (55),0,0,2005,16,75-79 years
Wisconsin (55),0,0,2005,358,40-44 years
Wisconsin (55),0,0,2005,21,45-49 years
Wisconsin (55),0,0,2005,22,50-54 years
Wisconsin (55),0,0,2005,73,55-59 years
Wisconsin (55),0,0,2005,320,60-64 years
Wisconsin (55),0,0,2005,255,65-69 years
Wisconsin (55),0,0,2005,254,70-74 years
Wisconsin (55),0,0,2005,65,75-79 years
Wisconsin (55),0,0,2005,21,80-84 years
Wisconsin (55),0,0,2005,36,85+ years
Wisconsin (55),0,0,2005,211,65-69 years
Wisconsin (55),0,0,2005,218,70-74 years
Wisconsin (55),0,0,2006,51,50-54 years
Wisconsin (55),0,0,2006,246,55-59 years
Wisconsin (55),0,0,2006,86,60-64 years
Wisconsin (55),0,0,2006,226,65-69 years
Wisconsin (55),0,0,2006,470,70-74 years
Wisconsin (55),0,0,2006,226,40-44 years
Wisconsin (55),0,0,2006,24,45-49 years
Wisconsin (55),0,0,2006,194,50-54 years
Wisconsin (55),0,0,2006,187,55-59 years
Wisconsin (55),0,0,2006,270,60-64 years
Wisconsin (55),0,0,2006,34,65-69 years
Wisconsin (55),0,0,2006,27,70-74 years
Wisconsin (55),0,0,2006,109,75-79 years
Wisconsin (55),0,0,2006,283,80-84 years
Wisconsin (55),0,0,2006,19,85+ years
Wisconsin (55),0,0,2006,84,60-64 years
Wisconsin (55),0,0,2007,262,50-54 years
Wisconsin (55),0,0,2007,206,55-59 years
Wisconsin (55),0,0,2007,204,60-64 years
Wisconsin (55),0,0,2007,57,65-69 years
Wisconsin (55),0,0,2007,19,70-74 years
Wisconsin (55),0,0,2007,35,45-49 years
Wisconsin (55),0,0,2007,156,50-54 years
Wisconsin (55),0,0,2007,174,55-59 years
Wisconsin (55),0,0,2007,42,60-64 years
Wisconsin (55),0,0,2007,241,65-69 years
Wisconsin (55),0,0,2007,73,70-74 years
Wisconsin (55),0,0,2007,184,75-79 years
Wisconsin (55),0,0,2007,368,80-84 years
Wisconsin (55),0,0,2007,194,85+ years
Wisconsin (55),0,0,2007,31,75-79 years
Wisconsin (55),0,0,2007,197,85+ years
Wisconsin (55),0,0,2008,145,50-54 years
Wisconsin (55),0,0,2008,219,55-59 years
Wisconsin (55),0,0,2008,21,60-64 years
Wisconsin (55),0,0,2008,38,65-69 years
Wisconsin (55),0,0,2008,83,70-74 years
Wisconsin (55),0,0,2008,227,40-44 years
Wisconsin (55),0,0,2008,50,45-49 years
Wisconsin (55),0,0,2008,158,50-54 years
Wisconsin (55),0,0,2008,140,55-59 years
Wisconsin (55),0,0,2008,157,60-64 years
Wisconsin (55),0,0,2008,34,65-69 years
Wisconsin (55),0,0,2008,21,70-74 years
Wisconsin (55),0,0,2008,29,75-79 years
Wisconsin (55),0,0,2008,121,80-84 years
Wisconsin (55),0,0,2008,107,85+ years
Wisconsin (55),0,0,2008,22,55-59 years
West Virginia (54),0,0,1999,203,45-49 years
West Virginia (54),0,0,1999,54,50-54 years
West Virginia (54),0,0,1999,114,55-59 years
West Virginia (54),0,0,1999,278,60-64 years
West Virginia (54),0,0,1999,138,65-69 years
West Virginia (54),0,0,1999,28,70-74 years
West Virginia (54),0,0,1999,127,75-79 years
West Virginia (54),0,0,1999,121,80-84 years
West Virginia (54),0,0,1999,147,85+ years
West Virginia (54),0,0,2000,20,50-54 years
West Virginia (54),0,0,2000,35,55-59 years
West Virginia (54),0,0,2000,77,60-64 years
West Virginia (54),0,0,2000,36,65-69 years
West Virginia (54),0,0,2000,87,70-74 years
West Virginia (54),0,0,2000,73,75-79 years
West Virginia (54),0,0,2000,71,80-84 years
West Virginia (54),0,0,2000,16,85+ years
West Virginia (54),0,0,2001,20,45-49 years
West Virginia (54),0,0,2001,58,50-54 years
West Virginia (54),0,0,2001,57,55-59 years
West Virginia (54),0,0,2001,88,60-64 years
West Virginia (54),0,0,2001,28,65-69 years
West Virginia (54),0,0,2001,52,70-74 years
West Virginia (54),0,0,2001,113,75-79 years
West Virginia (54),0,0,2001,62,80-84 years
West Virginia (54),0,0,2001,41,85+ years
West Virginia (54),0,0,2002,81,50-54 years
West Virginia (54),0,0,2002,87,55-59 years
West Virginia (54),0,0,2002,22,60-64 years
West Virginia (54),0,0,2002,56,65-69 years
West Virginia (54),0,0,2002,26,70-74 years
West Virginia (54),0,0,2002,68,75-79 years
West Virginia (54),0,0,2002,58,80-84 years
West Virginia (54),0,0,2002,54,85+ years
West Virginia (54),0,0,2003,60,45-49 years
West Virginia (54),0,0,2003,41,50-54 years
West Virginia (54),0,0,2003,51,55-59 years
West Virginia (54),0,0,2003,22,60-64 years
West Virginia (54),0,0,2003,34,65-69 years
West Virginia (54),0,0,2003,91,70-74 years
West Virginia (54),0,0,2003,38,75-79 years
West Virginia (54),0,0,2003,18,80-84 years
West Virginia (54),0,0,2003,37,85+ years
West Virginia (54),0,0,2004,45,45-49 years
West Virginia (54),0,0,2004,79,50-54 years
West Virginia (54),0,0,2004,54,55-59 years
West Virginia (54),0,0,2004,24,60-64 years
West Virginia (54),0,0,2004,17,65-69 years
West Virginia (54),0,0,2004,21,70-74 years
West Virginia (54),0,0,2004,18,75-79 years
West Virginia (54),0,0,2004,23,80-84 years
West Virginia (54),0,0,2004,21,85+ years
West Virginia (54),0,0,2005,28,45-49 years
West Virginia (54),0,0,2005,34,50-54 years
West Virginia (54),0,0,2005,34,55-59 years
West Virginia (54),0,0,2005,28,60-64 years
West Virginia (54),0,0,2005,24,65-69 years
West Virginia (54),0,0,2005,233,70-74 years
West Virginia (54),0,0,2005,49,75-79 years
West Virginia (54),0,0,2005,112,80-84 years
West Virginia (54),0,0,2005,64,85+ years
West Virginia (54),0,0,2006,86,45-49 years
West Virginia (54),0,0,2006,38,50-54 years
West Virginia (54),0,0,2006,34,55-59 years
West Virginia (54),0,0,2006,43,60-64 years
West Virginia (54),0,0,2006,26,65-69 years
West Virginia (54),0,0,2006,56,70-74 years
West Virginia (54),0,0,2006,79,75-79 years
West Virginia (54),0,0,2006,129,80-84 years
West Virginia (54),0,0,2006,51,85+ years
West Virginia (54),0,0,2007,49,45-49 years
West Virginia (54),0,0,2007,16,50-54 years
West Virginia (54),0,0,2007,68,55-59 years
West Virginia (54),0,0,2007,140,60-64 years
West Virginia (54),0,0,2007,93,65-69 years
West Virginia (54),0,0,2007,34,70-74 years
West Virginia (54),0,0,2007,32,75-79 years
West Virginia (54),0,0,2007,102,80-84 years
West Virginia (54),0,0,2007,16,85+ years
West Virginia (54),0,0,2008,40,45-49 years
West Virginia (54),0,0,2008,137,50-54 years
West Virginia (54),0,0,2008,63,55-59 years
West Virginia (54),0,0,2008,19,60-64 years
West Virginia (54),0,0,2008,50,65-69 years
West Virginia (54),0,0,2008,88,70-74 years
West Virginia (54),0,0,2008,21,75-79 years
West Virginia (54),0,0,2008,101,80-84 years
West Virginia (54),0,0,2008,779,85+ years
West Virginia (54),0,0,2009,164,45-49 years
West Virginia (54),0,0,2009,19,50-54 years
West Virginia (54),0,0,2009,463,55-59 years
West Virginia (54),0,0,2009,184,60-64 years
West Virginia (54),0,0,2009,43,65-69 years
West Virginia (54),0,0,2009,297,70-74 years
West Virginia (54),0,0,2009,150,75-79 years
West Virginia (54),0,0,2009,79,80-84 years
West Virginia (54),0,0,2009,120,85+ years
Washington (53),0,0,1999,89,65-69 years
Washington (53),0,0,1999,41,65-69 years
Washington (53),0,0,1999,161,75-79 years
Washington (53),0,0,1999,279,55-59 years
Washington (53),0,0,1999,381,60-64 years
Washington (53),0,0,1999,158,65-69 years
Washington (53),0,0,1999,183,70-74 years
Washington (53),0,0,1999,33,45-49 years
Washington (53),0,0,1999,57,50-54 years
Washington (53),0,0,1999,41,55-59 years
Washington (53),0,0,1999,56,60-64 years
Washington (53),0,0,1999,268,65-69 years
Washington (53),0,0,1999,490,70-74 years
Washington (53),0,0,1999,27,75-79 years
Washington (53),0,0,1999,316,80-84 years
Washington (53),0,0,1999,77,85+ years
Washington (53),0,0,1999,134,55-59 years
Washington (53),0,0,1999,416,60-64 years
Washington (53),0,0,1999,44,65-69 years
Washington (53),0,0,1999,116,70-74 years
Washington (53),0,0,2000,456,65-69 years
Washington (53),0,0,2000,23,65-69 years
Washington (53),0,0,2000,222,70-74 years
Washington (53),0,0,2000,66,75-79 years
Washington (53),0,0,2000,191,55-59 years
Washington (53),0,0,2000,19,60-64 years
Washington (53),0,0,2000,193,65-69 years
Washington (53),0,0,2000,29,75-79 years
Washington (53),0,0,2000,210,40-44 years
Washington (53),0,0,2000,"1,426",45-49 years
Washington (53),0,0,2000,240,50-54 years
Washington (53),0,0,2000,64,55-59 years
Washington (53),0,0,2000,838,60-64 years
Washington (53),0,0,2000,394,65-69 years
Washington (53),0,0,2000,66,70-74 years
Washington (53),0,0,2000,608,75-79 years
Washington (53),0,0,2000,322,80-84 years
Washington (53),0,0,2000,163,85+ years
Washington (53),0,0,2000,247,55-59 years
Washington (53),0,0,2000,174,60-64 years
Washington (53),0,0,2000,95,65-69 years
Washington (53),0,0,2000,309,70-74 years
Washington (53),0,0,2001,526,65-69 years
Washington (53),0,0,2001,661,70-74 years
Washington (53),0,0,2001,328,60-64 years
Washington (53),0,0,2001,364,65-69 years
Washington (53),0,0,2001,76,70-74 years
Washington (53),0,0,2001,118,50-54 years
Washington (53),0,0,2001,106,60-64 years
Washington (53),0,0,2001,96,65-69 years
Washington (53),0,0,2001,507,70-74 years
Washington (53),0,0,2001,931,40-44 years
Washington (53),0,0,2001,48,45-49 years
Washington (53),0,0,2001,628,50-54 years
Washington (53),0,0,2001,152,55-59 years
Washington (53),0,0,2001,229,60-64 years
Washington (53),0,0,2001,776,65-69 years
Washington (53),0,0,2001,65,70-74 years
Washington (53),0,0,2001,224,75-79 years
Washington (53),0,0,2001,915,80-84 years
Washington (53),0,0,2001,45,85+ years
Washington (53),0,0,2001,441,55-59 years
Washington (53),0,0,2001,111,60-64 years
Washington (53),0,0,2001,367,65-69 years
Washington (53),0,0,2002,34,65-69 years
Washington (53),0,0,2002,281,70-74 years
Washington (53),0,0,2002,43,65-69 years
Washington (53),0,0,2002,354,70-74 years
Washington (53),0,0,2002,"2,025",75-79 years
Washington (53),0,0,2002,375,50-54 years
Washington (53),0,0,2002,82,55-59 years
Washington (53),0,0,2002,27,60-64 years
Washington (53),0,0,2002,"1,464",65-69 years
Washington (53),0,0,2002,537,70-74 years
Washington (53),0,0,2002,116,45-49 years
Washington (53),0,0,2002,959,50-54 years
Washington (53),0,0,2002,455,55-59 years
Washington (53),0,0,2002,227,60-64 years
Washington (53),0,0,2002,343,65-69 years
Washington (53),0,0,2002,299,70-74 years
Washington (53),0,0,2002,127,75-79 years
Washington (53),0,0,2002,452,80-84 years
Washington (53),0,0,2002,683,85+ years
Washington (53),0,0,2002,"1,050",55-59 years
Washington (53),0,0,2002,495,60-64 years
Washington (53),0,0,2002,512,65-69 years
Washington (53),0,0,2002,95,75-79 years
Washington (53),0,0,2003,163,60-64 years
Washington (53),0,0,2003,158,65-69 years
Washington (53),0,0,2003,121,75-79 years
Washington (53),0,0,2003,739,50-54 years
Washington (53),0,0,2003,"1,395",55-59 years
Washington (53),0,0,2003,69,60-64 years
Washington (53),0,0,2003,983,65-69 years
Washington (53),0,0,2003,276,70-74 years
Washington (53),0,0,2003,376,40-44 years
Washington (53),0,0,2003,"1,221",45-49 years
Washington (53),0,0,2003,107,50-54 years
Washington (53),0,0,2003,306,55-59 years
Washington (53),0,0,2003,"1,225",60-64 years
Washington (53),0,0,2003,75,65-69 years
Washington (53),0,0,2003,591,70-74 years
Washington (53),0,0,2003,174,75-79 years
Washington (53),0,0,2003,548,80-84 years
Washington (53),0,0,2003,47,85+ years
Washington (53),0,0,2003,385,55-59 years
Washington (53),0,0,2003,45,60-64 years
Washington (53),0,0,2003,590,65-69 years
Washington (53),0,0,2003,"2,836",70-74 years
Washington (53),0,0,2003,485,75-79 years
Washington (53),0,0,2004,105,65-69 years
Washington (53),0,0,2004,24,60-64 years
Washington (53),0,0,2004,"2,496",65-69 years
Washington (53),0,0,2004,615,70-74 years
Washington (53),0,0,2004,154,55-59 years
Washington (53),0,0,2004,"1,241",65-69 years
Washington (53),0,0,2004,583,70-74 years
Washington (53),0,0,2004,346,45-49 years
Washington (53),0,0,2004,523,50-54 years
Washington (53),0,0,2004,397,55-59 years
Washington (53),0,0,2004,221,60-64 years
Washington (53),0,0,2004,549,65-69 years
Washington (53),0,0,2004,950,70-74 years
Washington (53),0,0,2004,"1,333",75-79 years
Washington (53),0,0,2004,675,80-84 years
Washington (53),0,0,2004,697,85+ years
Washington (53),0,0,2004,161,55-59 years
Washington (53),0,0,2004,287,60-64 years
Washington (53),0,0,2004,191,65-69 years
Washington (53),0,0,2004,145,70-74 years
Washington (53),0,0,2004,"1,064",75-79 years
Washington (53),0,0,2004,"1,916",80-84 years
Washington (53),0,0,2005,120,60-64 years
Washington (53),0,0,2005,"1,245",65-69 years
Washington (53),0,0,2005,411,70-74 years
Washington (53),0,0,2005,531,65-69 years
Washington (53),0,0,2005,"1,913",70-74 years
Washington (53),0,0,2005,145,75-79 years
Washington (53),0,0,2005,480,50-54 years
Washington (53),0,0,2005,"1,842",55-59 years
Washington (53),0,0,2005,87,60-64 years
Washington (53),0,0,2005,749,65-69 years
Washington (53),0,0,2005,240,70-74 years
Washington (53),0,0,2005,753,40-44 years
Washington (53),0,0,2005,69,45-49 years
Washington (53),0,0,2005,357,50-54 years
Washington (53),0,0,2005,42,55-59 years
Washington (53),0,0,2005,570,60-64 years
Washington (53),0,0,2005,"2,853",65-69 years
Washington (53),0,0,2005,451,70-74 years
Washington (53),0,0,2005,103,75-79 years
Washington (53),0,0,2005,"2,777",80-84 years
Washington (53),0,0,2005,625,85+ years
Washington (53),0,0,2005,175,55-59 years
Washington (53),0,0,2005,"1,379",60-64 years
Washington (53),0,0,2005,639,65-69 years
Washington (53),0,0,2006,363,60-64 years
Washington (53),0,0,2006,472,65-69 years
Washington (53),0,0,2006,440,60-64 years
Washington (53),0,0,2006,207,65-69 years
Washington (53),0,0,2006,553,70-74 years
Washington (53),0,0,2006,930,75-79 years
Washington (53),0,0,2006,"1,519",80-84 years
Washington (53),0,0,2006,691,50-54 years
Washington (53),0,0,2006,707,55-59 years
Washington (53),0,0,2006,155,60-64 years
Washington (53),0,0,2006,277,65-69 years
Washington (53),0,0,2006,139,70-74 years
Washington (53),0,0,2006,183,40-44 years
Washington (53),0,0,2006,"1,215",45-49 years
Washington (53),0,0,2006,"2,125",50-54 years
Washington (53),0,0,2006,154,55-59 years
Washington (53),0,0,2006,"1,432",60-64 years
Washington (53),0,0,2006,387,65-69 years
Washington (53),0,0,2006,561,70-74 years
Washington (53),0,0,2006,"2,134",75-79 years
Washington (53),0,0,2006,170,80-84 years
Washington (53),0,0,2006,423,85+ years
Washington (53),0,0,2006,"1,712",50-54 years
Washington (53),0,0,2006,90,55-59 years
Washington (53),0,0,2006,813,60-64 years
Washington (53),0,0,2006,273,65-69 years
Washington (53),0,0,2006,794,70-74 years
Washington (53),0,0,2007,73,70-74 years
Washington (53),0,0,2007,263,75-79 years
Washington (53),0,0,2007,35,60-64 years
Washington (53),0,0,2007,447,65-69 years
Washington (53),0,0,2007,"2,330",70-74 years
Washington (53),0,0,2007,339,75-79 years
Washington (53),0,0,2007,55,80-84 years
Washington (53),0,0,2007,19,50-54 years
Washington (53),0,0,2007,"2,264",55-59 years
Washington (53),0,0,2007,414,60-64 years
Washington (53),0,0,2007,139,65-69 years
Washington (53),0,0,2007,"1,071",70-74 years
Washington (53),0,0,2007,437,75-79 years
Washington (53),0,0,2007,319,45-49 years
Washington (53),0,0,2007,392,50-54 years
Washington (53),0,0,2007,299,55-59 years
Washington (53),0,0,2007,188,60-64 years
Washington (53),0,0,2007,444,65-69 years
Washington (53),0,0,2007,681,70-74 years
Washington (53),0,0,2007,"1,146",75-79 years
Washington (53),0,0,2007,580,80-84 years
Washington (53),0,0,2007,468,85+ years
Washington (53),0,0,2007,117,50-54 years
Washington (53),0,0,2007,179,55-59 years
Washington (53),0,0,2007,96,60-64 years
Washington (53),0,0,2007,115,65-69 years
Washington (53),0,0,2007,994,70-74 years
Washington (53),0,0,2007,"1,580",75-79 years
Washington (53),0,0,2008,114,60-64 years
Washington (53),0,0,2008,"1,073",65-69 years
Washington (53),0,0,2008,317,60-64 years
Washington (53),0,0,2008,421,65-69 years
Washington (53),0,0,2008,"1,593",70-74 years
Washington (53),0,0,2008,149,50-54 years
Washington (53),0,0,2008,314,55-59 years
Washington (53),0,0,2008,"1,275",60-64 years
Washington (53),0,0,2008,63,65-69 years
Washington (53),0,0,2008,656,70-74 years
Washington (53),0,0,2008,232,45-49 years
Washington (53),0,0,2008,579,50-54 years
Washington (53),0,0,2008,78,55-59 years
Washington (53),0,0,2008,114,60-64 years
Washington (53),0,0,2008,226,65-69 years
Washington (53),0,0,2008,"1,273",70-74 years
Washington (53),0,0,2008,173,75-79 years
Washington (53),0,0,2008,22,80-84 years
Washington (53),0,0,2008,"1,057",85+ years
Washington (53),0,0,2008,184,50-54 years
Washington (53),0,0,2008,79,55-59 years
Washington (53),0,0,2008,566,60-64 years
Washington (53),0,0,2008,252,65-69 years
Washington (53),0,0,2008,171,70-74 years
Washington (53),0,0,2009,214,55-59 years
Washington (53),0,0,2009,182,60-64 years
Washington (53),0,0,2009,75,65-69 years
Washington (53),0,0,2009,218,70-74 years
Washington (53),0,0,2009,330,55-59 years
Washington (53),0,0,2009,571,60-64 years
Washington (53),0,0,2009,331,65-69 years
Washington (53),0,0,2009,188,70-74 years
Washington (53),0,0,2009,57,50-54 years
Washington (53),0,0,2009,147,55-59 years
Washington (53),0,0,2009,52,60-64 years
Washington (53),0,0,2009,58,65-69 years
Washington (53),0,0,2009,494,70-74 years
Washington (53),0,0,2009,846,40-44 years
Washington (53),0,0,2009,47,45-49 years
Washington (53),0,0,2009,575,50-54 years
Washington (53),0,0,2009,145,55-59 years
Washington (53),0,0,2009,235,60-64 years
Washington (53),0,0,2009,805,65-69 years
Washington (53),0,0,2009,70,70-74 years
Washington (53),0,0,2009,137,75-79 years
Washington (53),0,0,2009,587,80-84 years
Washington (53),0,0,2009,27,85+ years
Virginia (51),0,0,2002,343,60-64 years
Virginia (51),0,0,2002,115,65-69 years
Virginia (51),0,0,2002,376,45-49 years
Virginia (51),0,0,2002,32,50-54 years
Virginia (51),0,0,2002,48,55-59 years
Virginia (51),0,0,2002,114,60-64 years
Virginia (51),0,0,2002,754,65-69 years
Virginia (51),0,0,2002,110,70-74 years
Virginia (51),0,0,2002,18,75-79 years
Virginia (51),0,0,2002,544,80-84 years
Virginia (51),0,0,2002,103,85+ years
Virginia (51),0,0,2002,48,40-44 years
Virginia (51),0,0,2002,374,45-49 years
Virginia (51),0,0,2002,151,50-54 years
Virginia (51),0,0,2002,124,55-59 years
Virginia (51),0,0,2002,161,60-64 years
Virginia (51),0,0,2002,102,65-69 years
Virginia (51),0,0,2002,54,70-74 years
Virginia (51),0,0,2002,135,75-79 years
Virginia (51),0,0,2002,225,80-84 years
Virginia (51),0,0,2002,348,85+ years
Virginia (51),0,0,2003,175,45-49 years
Virginia (51),0,0,2003,148,50-54 years
Virginia (51),0,0,2003,43,55-59 years
Virginia (51),0,0,2003,76,60-64 years
Virginia (51),0,0,2003,40,65-69 years
Virginia (51),0,0,2003,28,70-74 years
